CCUST,CBFNAM,CBLNAM,CBCITY,CBSTAT,CBZIP,CBCTRY,CSFNAM,CSLNAM,CSCITY,CSSTAT,CSZIP,CCNTCT,CPHON1,CPHON2,CPHON3,CEMAIL,CDATEAD,CUPDTE,CSTATUS
1000000,Jordan,Smith,Columbus,OH,98696,USA,Riley,Brown,Toledo,PA,14165,Jordan Smith,+1-230-295-4582,+1-438-717-1434,+1-774-403-9928,jordan.smith1000@example.com,2022-05-09,2023-08-14,Inactive
1000001,Parker,Jones,Dayton,IN,46421,USA,Alex,Williams,Columbus,IN,23396,Parker Jones,+1-294-589-2584,+1-567-552-5333,+1-244-947-8527,parker.jones1001@sample.org,2023-01-03,2023-05-08,Inactive
1000002,Jordan,Martinez,Toledo,KY,19116,USA,Riley,Lopez,Columbus,IN,20458,Jordan Martinez,+1-438-303-7227,+1-484-664-6977,+1-366-579-6820,jordan.martinez1002@testmail.com,2021-03-05,2023-10-01,Prospect
1000003,Jordan,Lopez,Columbus,KY,70589,Canada,Taylor,Martinez,Cleveland,MI,38785,Jordan Lopez,+1-901-532-1916,+1-434-232-6168,+1-610-474-2084,jordan.lopez1003@sample.org,2021-03-08,2024-08-03,Prospect
1000004,Casey,Brown,Dayton,KY,44718,USA,Cameron,Miller,Columbus,MI,80644,Casey Brown,+1-469-964-8019,+1-797-608-6930,+1-424-341-9348,casey.brown1004@sample.org,2022-10-07,2023-04-04,Active
1000005,Jordan,Williams,Cincinnati,PA,60019,Canada,Taylor,Miller,Toledo,IN,82512,Jordan Williams,+1-211-896-2876,+1-898-749-5371,+1-987-856-6573,jordan.williams1005@sample.org,2020-08-16,2023-10-28,Inactive
1000006,Taylor,Davis,Columbus,MI,23947,Canada,Alex,Jones,Toledo,MI,36071,Taylor Davis,+1-356-582-3646,+1-752-997-9689,+1-200-813-6310,taylor.davis1006@sample.org,2022-09-27,2023-01-20,Active
1000007,Casey,Jones,Toledo,OH,21226,Canada,Morgan,Smith,Cincinnati,MI,26483,Casey Jones,+1-331-875-8787,+1-762-369-5342,+1-740-821-7932,casey.jones1007@example.com,2021-03-09,2024-07-06,Prospect
1000008,Morgan,Jones,Toledo,PA,25860,USA,Jamie,Garcia,Columbus,OH,54313,Morgan Jones,+1-221-802-4770,+1-802-425-1117,+1-272-924-1964,morgan.jones1008@testmail.com,2021-04-13,2023-03-11,Active
1000009,Casey,Johnson,Dayton,KY,80678,USA,Avery,Brown,Toledo,MI,71953,Casey Johnson,+1-448-684-7669,+1-394-296-2588,+1-874-641-6804,casey.johnson1009@testmail.com,2022-05-17,2024-02-25,Inactive
1000010,Alex,Johnson,Cleveland,OH,42591,USA,Alex,Miller,Columbus,MI,68800,Alex Johnson,+1-343-632-4006,+1-485-673-5092,+1-277-653-2604,alex.johnson1010@sample.org,2020-04-13,2024-07-07,Active
1000011,Jordan,Brown,Dayton,KY,62565,USA,Taylor,Miller,Columbus,PA,10282,Jordan Brown,+1-599-471-8454,+1-492-633-8973,+1-358-394-5861,jordan.brown1011@testmail.com,2021-03-21,2023-03-01,Prospect
1000012,Avery,Smith,Toledo,PA,75909,USA,Casey,Smith,Cincinnati,MI,20500,Avery Smith,+1-390-270-2113,+1-891-440-7615,+1-322-783-5033,avery.smith1012@example.com,2023-03-31,2023-02-10,Prospect
1000013,Jordan,Miller,Cleveland,IN,36772,Canada,Parker,Lopez,Columbus,IN,61876,Jordan Miller,+1-334-887-5915,+1-668-523-2188,+1-209-669-2638,jordan.miller1013@sample.org,2020-05-30,2024-07-04,Active
1000014,Avery,Jones,Columbus,IN,47353,USA,Taylor,Garcia,Dayton,MI,49651,Avery Jones,+1-826-869-9666,+1-208-883-5905,+1-879-306-3200,avery.jones1014@example.com,2021-06-25,2023-04-29,Active
